Indmeta_text,﻿IndMetaID
Number of people with undiagnosed diabetes (20-79) in 1000s,529
Diabetes comparative prevalence (%) WHO standard,530
Prevalence of celiac disease in adults (%),531
"Stomach cancer incidence rates, males (per 100,000)",532
"Stomach cancer incidence rates, females (per 100,000)",533
"Incidence ulcerative colitis (per 100,000)",534
"Prevalence ulcerative colitis (per 100,000)",535
"Incidence rate Crohn's disease (per 100,000)",536
"Prevalence rate Crohn's disease (per 100,000)",537
"Death rates of cardiovascular diseases and diabetes, per 100,000 population, male",538
"Death rates of cardiovascular diseases and diabetes, per 100,000 population, female",539
"Death rates of CVD, ischemic heart disease, per 100,000 population",540
"Death rates of CVD, cerebrovascular disease, per 100,000 population",541
"NCD death rates under 60, total, per 100,000 population",542
"NCD death rates under 60, male, per 100,000 population",543
"NCD death rates under 60, female, per 100,000 population",544
"Total NCDs deaths, male",545
"Total NCDs deaths, female",546
Burden of diabetes in % of GDP,547
Burden of obesity in % of GDP,548
Total burden of cardiovascular diseases in € millions,549
"Years lost per 100,000 males, aged 0-69 years due to all causes, Europe",550
"Years lost per 100,000 males, aged 0-69 years due to CVD, Europe",551
"Years lost per 100,000 males, aged 0-69 years due to CHD, Europe",553
"Years lost per 100,000 males, aged 0-69 years due to stroke, Europe",555
"Years lost per 100,000 females, aged 0-69 years due to all causes, Europe",557
"Years lost per 100,000 females, aged 0-69 years due to CVD, Europe",558
"Years lost per 100,000 females, aged 0-69 years due to CHD, Europe",560
"Years lost per 100,000 females, aged 0-69 years due to stroke, Europe",562
"Age-standardised Disability Adjusted Life Year (DALYs) lost per 100,000 due to CHD, Europe",564
"Age-standardised Disability Adjusted Life Year (DALYs) lost per 100,000 due to stroke, Europe",565
"Age-standardised Disability Adjusted Life Year (DALYs) lost per 100,000 due to other CVD, Europe",566
"Total health care costs of CVD (€ thousands), Europe",572
"Cost per capita of CVD (€ thousands), Europe",573
"Percentage of total health care expenditure of CVD, Europe",574
"Total health care costs of CHD (€ thousands), Europe",580
"Cost per capita of CHD (€ thousands), Europe",581
"Percentage of total health care expenditure of CHD, Europe",582
"Total health care costs of cerebrovascular diseases (€ thousands), Europe",588
"Cost per capita of cerebrovascular diseases (€ thousands), Europe",589
"Percentage of total health care expenditure of cerebrovascular diseases, Europe",590
Births attended by skilled health personnel (%): urban,600
Births attended by skilled health personnel (%): rural,601
Births attended by skilled health personnel (%): ratio of urban to rural,602
"Non health-care costs of CVD (€ thousands), Europe",603
"Non health-care costs of CHD (€ thousands), Europe",604
"Non health-care costs of cerebrovascular diseases (€ thousands), Europe",605
Children aged < 5 years with cow's milk allergy (%),606
Children aged < 5 years with lactose intolerance (%),607
"Population, male (% of total)",614
Global food security index: overall score,617
Global food security index: affordability,618
Global food security index: availability,619
Global food security index: quality and safety,620
Prevalence of diarrhea in children under age 5 (%),629
Prevalence of diarrhea in children under age 3 (%),630
Prevalence of diarrhea in children under 6 months (%),631
Prevalence of diarrhea in children aged 6-11 months (%),632
Prevalence of diarrhea in children aged 12-23 months (%),633
Prevalence of diarrhea in children aged 24-35 months (%),634
Prevalence of diarrhea in children aged 36-47 months (%),635
Prevalence of diarrhea in children aged 48-59 months (%),636
Number of children < 5 years (thousands),641
Anemia in children aged < 5 years in thousand Income Group F,663
Anemia in children aged < 5 years in thousand Income Group E,664
Anemia in children aged < 5 years in thousand Income Group D,665
Anemia in children aged < 5 years in thousand Income Group C,666
Anemia in children aged < 5 years in thousand Income Group B,667
Anemia in children aged < 5 years in thousand Income Group A,668
Anemia in children aged < 5 years in thousand All,669
Zinc deficiency for children aged < 5 years in thousand Income Group F,670
Zinc deficiency for children aged < 5 years in thousand Income Group E,671
Zinc deficiency for children aged < 5 years in thousand Income Group D,672
Zinc deficiency for children aged < 5 years in thousand Income Group C,673
Zinc deficiency for children aged < 5 years in thousand Income Group B,674
Zinc deficiency for children aged < 5 years in thousand Income Group A,675
Zinc deficiency for children aged < 5 years in thousand All,676
Vit. A deficiency for children aged < 5 years in thousand Income Group F,677
Vit. A deficiency for children aged < 5 years in thousand Income Group E,678
Vit. A deficiency for children aged < 5 years in thousand Income Group D,679
Vit. A deficiency for children aged < 5 years in thousand Income Group C,680
Vit. A deficiency for children aged < 5 years in thousand Income Group B,681
Vit. A deficiency for children aged < 5 years in thousand Income Group A,682
Vit. A deficiency for children aged < 5 years in thousand All,683
Milk and Dairy product supply (g/capita/day),684
Sugar supply (g/capita/day),685
Percentage of total energy available from sugar,686
Iodine deficiency in general population (%),691
Estimated % population at risk of inadequate zinc intake,692
Diabetes prevalence (%),693
Anemia in children aged 6-9 months (%),694
Anemia in children aged 10-11 months (%),695
Anemia in children aged 12-23 months (%),696
Anemia in children aged 24-35 months (%),697
Anemia in children aged 36-47 months (%),698
Anemia in children aged 48-59 months (%),699
Anemia in women aged 15-49 years (%),700
Mild anemia in women aged 15-49 years (%),701
Moderate anemia in women aged 15-49 years (%),702
Severe anemia in women aged 15-49 years (%),703
"NCD death rates, male, per 100,000 population",704
"NCD death rates, female, per 100,000 population",705
Zinc deficiency in children aged < 5 years (%),706
Zinc deficiency in child bearing age women (%),707
Zinc deficiency in general population (%),714
Vitamin B12 deficiency in general population (%),717
Vitamin B6 deficiency in general population (%),719
Vitamin B6 deficiency in children aged < 5 years (%),723
Folic acid deficiency in general population (%),725
Folic acid deficiency in child bearing age women (%),727
Folic acid deficiency in children aged < 5 years (%),729
Vitamin D deficiency in general population (%),731
Vitamin D deficiency in child bearing age women (%),733
Vitamin D deficiency in children aged < 5 years (%),735
Vitamin B12 deficiency in child bearing age women (%),737
Vitamin B12 deficiency in children aged < 5 years (%),739
Vitamin B6 deficiency in child bearing age women (%),741
Vitamin A deficiency in general population (%),743
Vitamin A deficiency in child bearing age women (%),745
Iodine deficiency in child bearing age women (%),749
Iron deficiency in child bearing age women (%),754
Iron deficiency in children aged < 5 years (%),756
Anemia in general population (%),761
Iron deficiency in general population (%),763
Still breastfeeding (20-23 months) (%),768
Median duration (months): Exclusive breastfeeding,770
Children < 5 years who are stunted: moderate (%),780
Children < 5 years who are stunted: severe (%),782
Children < 5 years who are wasted: moderate (%),784
Children < 5 years who are wasted: severe (%),786
Children < 5 years who are underweight: moderate (%),788
Children < 5 years who are underweight: severe (%),790
6-8 months infants who received infant formula (%),794
6-8 months infants who received liquid milk (%),796
6-8 months infants who received other liquid (%),798
"6-8 months infants who received solid, semi-solid and soft foods (%)",800
% of early breastfeeding initiation,813
Median duration (months) of any breastfeeding,850
% of exclusive breastfeeding in infants < 6 months of age,859
Anemia in children aged < 5 years (%),868
Prevalence of anemia in child bearing age women (15-49 years) (%),869
Anemia in pregnant women (%),870
Low birth weight new-borns (%),871
Acute respiratory infection treatment (% of children < 5 years taken to a health provider),872
"Immunization, DPT (% of total children aged 12-23 months)",873
"Immunization, measles (% of total children aged 12-23 months)",874
"Malnutrition prevalence, height for age (% of children < 5 years)",875
Adults aged ≥ 18 years who are overweight (%),876
Adults males aged ≥ 18 years who are overweight (%),877
Adults females aged ≥ 18 years who are overweight (%),878
Adults aged ≥ 18 years who are obese (%),879
Adults males aged ≥ 18 years who are obese (%),880
Adults females aged ≥ 18 years who are obese (%),881
"Stomach cancer incidence rates, males (per 100,000)",882
"Stomach cancer incidence rates, females (per 100,000)",883
Children < 5  male who are overweight (%),884
Children < 5  female who are overweight (%),885
Deaths among children < 5 years caused by diarrhea (%),886
Deaths of children < 5 years caused by Pneumonia (%),887
Deaths of children < 5 years caused by Measles (%),888
GDP in billions (PPP pursing power parity),889
Adult literacy rate (%),890
"Fertility rate, total (births per woman)",891
Insufficiently active male (%),892
Insufficiently active female (%),893
Insufficiently active both sexes (%),894
Proportion of households consuming iodized salt (%),895
Vitamin A supplementation coverage rate (% of children aged 6-59 months),896
Beans supply (g/capita/day),897
Cereals supply (g/capita/day),898
Coffee supply (g/capita/day),899
"Vegetable consumption, quantity (g/capita/day)",900
"Fruits consumption, quantity (g/capita/day)",901
Percentage of children with moderate stunting: < 6 months,902
Percentage of children with moderate stunting: 6-8 months,903
Percentage of children with moderate stunting: 9-11 months,904
Percentage of children with moderate stunting: 12-17 months,905
Percentage of children with moderate stunting: 18-23 months,906
Percentage of children with moderate stunting: 24-35 months,907
Percentage of children with moderate stunting: 36-47 months,908
Percentage of children with moderate stunting: 48-59 months,909
Percentage of children with severe stunting: < 6 months,910
Percentage of children with severe stunting: 6-8 months,911
Percentage of children with severe stunting: 9-11 months,912
Percentage of children with severe stunting: 12-17 months,913
Percentage of children with severe stunting: 18-23 months,914
Percentage of children with severe stunting: 24-35 months,915
Percentage of children with severe stunting: 36-47 months,916
Percentage of children with severe stunting: 48-59 months,917
Percentage of children with moderate wasting: < 6 months,918
Percentage of children with moderate wasting: 6-8 months,919
Percentage of children with moderate wasting: 9-11 months,920
Percentage of children with moderate wasting: 12-17 months,921
Percentage of children with moderate wasting: 18-23 months,922
Percentage of children with moderate wasting: 24-35 months,923
Percentage of children with moderate wasting: 36-47 months,924
Percentage of children with moderate wasting: 48-59 months,925
Percentage of children with severe wasting: < 6 months,926
Percentage of children with severe wasting: 6-8 months,927
Percentage of children with severe wasting: 9-11 months,928
Percentage of children with severe wasting: 12-17 months,929
Percentage of children with severe wasting: 18-23 months,930
Percentage of children with severe wasting: 24-35 months,931
Percentage of children with severe wasting: 36-47 months,932
Percentage of children with severe wasting: 48-59 months,933
Percentage of children with moderate underweight: < 6 months,934
Percentage of children with moderate underweight: 6-8 months,935
Percentage of children with moderate underweight: 9-11 months,936
Percentage of children with moderate underweight: 12-17 months,937
Percentage of children with moderate underweight: 18-23 months,938
Percentage of children with moderate underweight: 24-35 months,939
Percentage of children with moderate underweight: 36-47 months,940
Percentage of children with moderate underweight: 48-59 months,941
Percentage of children with severe underweight: < 6 months,942
Percentage of children with severe underweight: 6-8 months,943
Percentage of children with severe underweight: 9-11 months,944
Percentage of children with severe underweight: 12-17 months,945
Percentage of children with severe underweight: 18-23 months,946
Percentage of children with severe underweight: 24-35 months,947
Percentage of children with severe underweight: 36-47 months,948
Percentage of children with severe underweight: 48-59 months,949
Prevalence of overweight and obesity in boys < 20 years (%),950
Prevalence of obesity in boys < 20 years (%),951
Prevalence of overweight and obesity in men ≥ 20 years (%),952
Prevalence of overweight and obesity in girls < 20 years (%),953
Prevalence of obesity in girls < 20 years (%),954
Prevalence of overweight and obesity in women ≥ 20 years (%),955
Prevalence of obesity in women ≥ 20 years (%),956
"Death rates of cardiovascular diseases, per 100,000 population, male",957
"Death rates of cardiovascular diseases, per 100,000 population, female",958
"Raised blood pressure (SBP≥140 OR DBP≥90) (%), male",959
"Raised blood pressure (SBP≥140 OR DBP≥90) (%), female",960
"Raised blood pressure (SBP≥140 OR DBP≥90) (%), both sexes",961
"Raised fasting blood glucose (≥ 7.0 mmol/L or on medication) (%), male",962
"Raised fasting blood glucose (≥ 7.0 mmol/L or on medication) (%), female",963
"Raised fasting blood glucose (≥ 7.0 mmol/L or on medication) (%), both sexes",964
